line,ref_kind,direct_method,path_expression,tail
2036,db.ref,set,DB_PATH+'/global/notifications/'+key+'/read',".set(true).catch(()=>{});clsModal('modal-sjx-notif');SJX.updateBell();var type=String(n.type||'').toUpperCase(),target=String(n.targetView||"
2061,db.ref,once,DB_PATH+'/'+date+c,".once('value'),9000,'SHIFT_DAY_'+c.slice(1)+'_TIMEOUT');return[c,snap.val()||emptyDay()]})),o={};rows.forEach(([c,d])=>o[c]=d||emptyDay());t"
2129,db.ref,,DB_PATH+'/'+activeDate+'/sessionControl',",reserved=false;         try{             var tr=await sjTimeout(controlRef.transaction(cur=>{if(cur&&cur.status==='ACTIVE')return;return{st"
2132,db.ref,once,DB_PATH+'/'+activeDate,".once('value')).val()||emptyDay();if(fresh.locked)throw new Error('Shift sudah ditutup.');var baseline=this.snapshot(fresh),sessions=sjObj(f"
2138,db.ref,,DB_PATH+'/'+activeDate+'/sessionControl',",reserved=false,btn=document.getElementById('sjshift-handover-save');this.busy=true;sjSetBusy(btn,true,'MEMPROSES...');         try{        "
2140,db.ref,once,DB_PATH+'/'+activeDate,".once('value')).val()||d,summary=this.sessionSummary(oldSession,fresh),baseline=this.snapshot(fresh),u={};u[activeDate+'/sessions/'+oldId+'/"
2140,db.ref,set,DB_PATH+'/global/notifications/'+nid,".set({id:nid,type:'SHIFT_HANDOVER',title:'Serah Terima Shift',body:this.label(activeShift)+' diserahkan kepada Anda.',targetUserId:targetId,"
2147,db.ref,,DB_PATH+'/'+activeDate+'/sessionControl',",reserved=false,oldControl=Object.assign({},d.sessionControl||{});         try{             var tr=await sjTimeout(controlRef.transaction(cu"
2150,db.ref,once,DB_PATH+'/'+activeDate,".once('value'),8000,'SHIFT_CLOSE_READ_TIMEOUT')).val()||d,freshSession=fresh.sessions?.[sid]||session,sessionExpected=this.expectedSession(f"
2252,db.ref,set,DB_PATH+'/global/notifications/'+key+'/readBy/'+this.safeReaderKey(),".set(true)}catch(e){sjSaveError('NOTIF_READ',e)}},  async menuTransaction(mutator,label){var ref=db.ref(DB_PATH+'/global/menu');var tr=await"
2253,db.ref,,DB_PATH+'/global/menu',";var tr=await sjTimeout(ref.transaction(cur=>{var arr=this.menuArray(cur),next=mutator(arr);return next===undefined?undefined:next}),10000,l"
2254,db.ref,,DB_PATH+'/global/kategori',";var tr=await sjTimeout(ref.transaction(cur=>{var arr=this.categoryArray(cur),next=mutator(arr);return next===undefined?undefined:next}),900"
2258,db.ref,update,DB_PATH+'/global/schema',".update({version:'59.3',releaseVersion:'59.3.4',productOrder:true,notificationAudience:true,archiveProducts:true,mobileFirstUX:true,groupedP"
2304,db.ref,set,DB_PATH+'/global/inventory/'+obj.id,".set(0);clsModal('modal-add-menu');showToast('Produk disimpan. Stok awal 0 = HABIS; tambahkan stok melalui Operasional → Stok.','success');s"
